scenario,method,coverage,declaration_rate,correct_rate,false_stable_rate,stable_recall,topk_precision,topk_recall,avg_set_size,avg_shortfall
exact_bt_mild_shift,fixed_target_ci_certified_bt,0.5218253968253969,0.8174603174603174,0.7420634920634921,0.0922330097087378,0.7420634920634921,0.8518518518518519,0.75,2.25,0.25
exact_bt_mild_shift,fixed_target_contextual_bt,0.5218253968253969,0.8174603174603174,0.7420634920634921,0.0922330097087378,0.7420634920634921,0.7592592592592592,0.8935185185185185,3.0,0.0
exact_bt_mild_shift,marginal_bt,0.4305555555555556,0.8432539682539683,0.7509920634920635,0.1094117647058823,0.7509920634920635,0.7685185185185185,0.8981481481481483,3.0,0.0
exact_bt_mild_shift,source_contextual_bt,0.4017857142857143,0.8472222222222222,0.751984126984127,0.1124121779859484,0.751984126984127,0.75,0.8703703703703703,3.0,0.0
exact_bt_mild_shift,ss_cbt,0.7152777777777778,0.6964285714285714,0.6448412698412699,0.074074074074074,0.6448412698412699,0.8240740740740741,0.8055555555555556,2.5277777777777777,0.1574074074074073
low_overlap_sparse,fixed_target_ci_certified_bt,0.5912698412698413,0.6924603174603174,0.6408730158730159,0.0744985673352435,0.6408730158730159,0.6759259259259259,0.5416666666666666,1.5833333333333333,0.4722222222222222
low_overlap_sparse,fixed_target_contextual_bt,0.5912698412698413,0.6924603174603174,0.6408730158730159,0.0744985673352435,0.6408730158730159,0.6666666666666666,0.8518518518518519,3.0,0.0
low_overlap_sparse,marginal_bt,0.2638888888888889,0.8442460317460317,0.6934523809523809,0.1786133960047003,0.6934523809523809,0.6203703703703703,0.8055555555555556,3.0,0.0
low_overlap_sparse,source_contextual_bt,0.2797619047619047,0.8373015873015873,0.6964285714285714,0.1682464454976303,0.6964285714285714,0.6481481481481481,0.8379629629629629,3.0,0.0
low_overlap_sparse,ss_cbt,0.748015873015873,0.5753968253968254,0.5426587301587301,0.0568965517241379,0.5426587301587301,0.7083333333333334,0.7361111111111112,2.361111111111111,0.2129629629629629
misspecified_shift,fixed_target_ci_certified_bt,0.5248015873015873,0.7718253968253969,0.6934523809523809,0.1015424164524421,0.6934523809523809,0.7731481481481481,0.6064814814814814,1.8888888888888888,0.3703703703703703
misspecified_shift,fixed_target_contextual_bt,0.5248015873015873,0.7718253968253969,0.6934523809523809,0.1015424164524421,0.6934523809523809,0.7129629629629629,0.8148148148148148,3.0,0.0
misspecified_shift,marginal_bt,0.310515873015873,0.8462301587301587,0.7123015873015873,0.1582649472450175,0.7123015873015873,0.7407407407407407,0.8518518518518519,3.0,0.0
misspecified_shift,source_contextual_bt,0.3263888888888889,0.8422619047619048,0.7113095238095238,0.1554770318021201,0.7113095238095238,0.7222222222222222,0.8240740740740741,3.0,0.0
misspecified_shift,ss_cbt,0.7093253968253969,0.6448412698412699,0.5962301587301587,0.0753846153846153,0.5962301587301587,0.7962962962962963,0.7314814814814814,2.4166666666666665,0.1944444444444444
