scenario,method,coverage,false_stable_rate,declaration_rate,topk_recall,avg_set_size
exact_bt_mild_shift,fixed_target_ci_certified_bt,0.5218253968253969,0.0922330097087378,0.8174603174603174,0.75,2.25
exact_bt_mild_shift,fixed_target_contextual_bt,0.5218253968253969,0.0922330097087378,0.8174603174603174,0.8935185185185185,3.0
exact_bt_mild_shift,marginal_bt,0.4305555555555556,0.1094117647058823,0.8432539682539683,0.8981481481481483,3.0
exact_bt_mild_shift,source_contextual_bt,0.4017857142857143,0.1124121779859484,0.8472222222222222,0.8703703703703703,3.0
exact_bt_mild_shift,ss_cbt,0.7152777777777778,0.074074074074074,0.6964285714285714,0.8055555555555556,2.5277777777777777
low_overlap_sparse,fixed_target_ci_certified_bt,0.5912698412698413,0.0744985673352435,0.6924603174603174,0.5416666666666666,1.5833333333333333
low_overlap_sparse,fixed_target_contextual_bt,0.5912698412698413,0.0744985673352435,0.6924603174603174,0.8518518518518519,3.0
low_overlap_sparse,marginal_bt,0.2638888888888889,0.1786133960047003,0.8442460317460317,0.8055555555555556,3.0
low_overlap_sparse,source_contextual_bt,0.2797619047619047,0.1682464454976303,0.8373015873015873,0.8379629629629629,3.0
low_overlap_sparse,ss_cbt,0.748015873015873,0.0568965517241379,0.5753968253968254,0.7361111111111112,2.361111111111111
misspecified_shift,fixed_target_ci_certified_bt,0.5248015873015873,0.1015424164524421,0.7718253968253969,0.6064814814814814,1.8888888888888888
misspecified_shift,fixed_target_contextual_bt,0.5248015873015873,0.1015424164524421,0.7718253968253969,0.8148148148148148,3.0
misspecified_shift,marginal_bt,0.310515873015873,0.1582649472450175,0.8462301587301587,0.8518518518518519,3.0
misspecified_shift,source_contextual_bt,0.3263888888888889,0.1554770318021201,0.8422619047619048,0.8240740740740741,3.0
misspecified_shift,ss_cbt,0.7093253968253969,0.0753846153846153,0.6448412698412699,0.7314814814814814,2.4166666666666665
