method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,avg_set_size,benchmark,target_sample_size,delta,implied_l1_radius
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,50,0.1,0.5599971199930437
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,100,0.1,0.3959777609920179
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,200,0.1,0.27999855999652185
fixed_target_ci_certified_bt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
fixed_target_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
marginal_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
source_contextual_bt,0.9333333333333332,1.0,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
ss_cbt,0.9833333333333334,1.0,1.0,1.0,1.0,3.0,mt_bench,500,0.1,0.17708663823126333
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,50,0.1,0.5071378304973565
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,50,0.1,0.5071378304973565
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,50,0.1,0.5071378304973565
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,50,0.1,0.5071378304973565
ss_cbt,0.9529914529914528,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,50,0.1,0.5071378304973565
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,100,0.1,0.3586005989409147
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,100,0.1,0.3586005989409147
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,100,0.1,0.3586005989409147
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,100,0.1,0.3586005989409147
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,100,0.1,0.3586005989409147
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,200,0.1,0.25356891524867825
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,200,0.1,0.25356891524867825
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,200,0.1,0.25356891524867825
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,200,0.1,0.25356891524867825
ss_cbt,0.9365079365079364,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,200,0.1,0.25356891524867825
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,0.6583333333333333,1.75,arena_language,500,0.1,0.16037106320080488
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,500,0.1,0.16037106320080488
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,500,0.1,0.16037106320080488
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,0.8,3.0,arena_language,500,0.1,0.16037106320080488
ss_cbt,0.9256383712905452,0.9583333333333331,0.8333333333333333,0.75,0.7333333333333334,2.0,arena_language,500,0.1,0.16037106320080488
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,50,0.1,0.4046897360804744
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,50,0.1,0.4046897360804744
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,50,0.1,0.4046897360804744
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,50,0.1,0.4046897360804744
ss_cbt,0.81272511062192,0.9699248120300752,0.9333333333333332,1.0,0.96,2.2,atp_surface,50,0.1,0.4046897360804744
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,100,0.1,0.2861588566590977
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,100,0.1,0.2861588566590977
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,100,0.1,0.2861588566590977
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,100,0.1,0.2861588566590977
ss_cbt,0.7973418698637786,0.9699248120300752,0.9333333333333332,1.0,0.96,2.2,atp_surface,100,0.1,0.2861588566590977
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,200,0.1,0.2023448680402372
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,200,0.1,0.2023448680402372
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,200,0.1,0.2023448680402372
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,200,0.1,0.2023448680402372
ss_cbt,0.7648823970158619,0.97593984962406,0.9333333333333332,1.0,0.96,2.2,atp_surface,200,0.1,0.2023448680402372
fixed_target_ci_certified_bt,0.904869027407228,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8,atp_surface,500,0.1,0.12797413117067216
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,500,0.1,0.12797413117067216
marginal_bt,0.6631578947368421,0.9473684210526316,0.6666666666666666,1.0,0.8,3.0,atp_surface,500,0.1,0.12797413117067216
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0,atp_surface,500,0.1,0.12797413117067216
ss_cbt,0.7414340289522178,0.9804511278195488,0.8,1.0,0.8800000000000001,2.6,atp_surface,500,0.1,0.12797413117067216
